id,province,district_code,district,year,population,rate,rate_growth,rate_mechanical,density,born,birth_rate,born_3,born_per_3,prenatal_screening,newborn_screening,m_to_f
50,01,20,Đan Phượng,2015,163.788,1.9,10.78,-0.29,1.500,2.880,17.6,347,12.05,72.05,75.11,115.95
51,01,21,Thạch Thất,2015,204.170,2.8,13.66,-0.12,2.023,3.194,15.6,444,13.9,65.25,68.82,123.98
52,01,22,Hoài Đức,2015,219.274,2.2,13.42,0.43,2.573,3.837,17.5,612,15.95,70.01,74.70,114.96
53,01,23,Quốc Oai,2015,186.245,3.6,12.7,0.09,1.196,3.084,16.6,439,14.23,91.44,52.50,107.05
54,01,24,Chương Mỹ,2015,318.216,1.8,11.64,-0.22,1.073,5.581,17.5,561,10.05,80.03,75.12,114.20
55,01,25,Thanh Oai,2015,195.586,1.4,12.17,0.07,1.354,3.178,16.2,290,9.13,87.82,71.91,116.55
56,01,26,Thường Tín,2015,241.189,1.3,10.87,0.04,1.551,3.894,16.1,407,10.45,72.00,68.13,111.51
57,01,27,Ứng Hòa,2015,196.181,1.6,11.44,0.24,1.866,3.070,15.6,372,12.12,65.36,88.53,120.70
58,01,28,Phú Xuyên,2015,205.110,3.6,11.95,0.41,1.105,3.362,16.4,386,11.48,65.89,57.38,113.16
59,01,29,Mỹ Đức,2015,188.418,1.6,9.55,-0.90,1.048,2.777,14.7,322,11.6,84.99,67.19,111.44
60,01,30,Mê Linh,2015,215.271,1.4,8.94,0.10,842,4.201,19.5,371,8.83,70.19,70.65,110.16
61,01,1,Ba Đình,2016,246.068,0.4,10.65,2.15,26.721,3.598,14.62,46,1.28,80.00,85.00,107.00
62,01,2,Hoàn Kiếm,2016,204.043,-0.8,12.68,-0.08,30.340,3.270,16.03,51,1.56,78.00,85.00,108.80
63,01,3,Hai Bà Trưng,2016,316.621,0.6,10.36,-0.07,6.728,4.183,13.21,8,0.19,79.90,98.00,109.00
64,01,4,Đống Đa,2016,416.101,1.2,13.4,-0.11,4.811,6.471,15.55,10,0.15,78.00,85.00,106.00
65,01,5,Thanh Xuân,2016,278.525,2.0,11.81,5.44,21.615,3.964,14.23,37,0.93,78.20,85.00,105.00
66,01,6,Tây Hồ,2016,162.217,2.2,9.17,1.83,41.990,2.520,15.53,23,0.91,78.00,85.20,103.70
67,01,7,Cầu Giấy,2016,264.441,1.9,5.2,1.70,30.916,3.911,14.79,49,1.25,78.50,86.10,110.00
68,01,8,Hoàng Mai,2016,379.483,2.4,10.64,5.12,9.549,5.450,14.36,79,1.45,75.00,85.00,106.60
69,01,9,Long Biên,2016,283.530,2.5,10.5,2.34,31.023,4.746,16.74,149,3.14,88.50,85.70,114.00
70,01,10,Nam Từ Liêm,2016,227.044,3.2,15.05,2.42,1.097,3.534,15.57,119,3.37,75.50,85.10,113.20
71,01,11,Bắc Từ Liêm,2016,325.817,1.6,12.95,3.00,2.052,4.205,12.91,154,3.66,75.00,85.00,113.50
72,01,12,Sóc Sơn,2016,333.741,1.6,12.81,-0.83,2.319,6.274,18.8,613,9.77,80.00,85.50,115.70
73,01,13,Đông Anh,2016,382.806,0.0,13.48,-0.17,7.167,6.471,16.9,550,8.5,75.20,75.80,113.00
74,01,14,Gia Lâm,2016,274.505,3.5,15.81,-0.16,3.692,4.520,16.47,287,6.35,75.80,80.00,110.40
75,01,15,Thanh Trì,2016,225.042,4.4,10.63,-0.45,7.251,3.604,16.01,246,6.83,72.00,77.00,112.00
76,01,16,Hà Đông,2016,298.318,0.6,14.37,-2.15,1.563,3.673,12.31,259,07.05,75.00,82.00,113.60
77,01,17,Sơn Tây,2016,140.263,0.0,11.49,-1.07,6.291,1.907,13.6,189,9.91,78.00,81.00,125.70
78,01,18,Ba Vì,2016,277.419,-3.0,10.1,-0.79,1.259,4.527,16.32,493,10.89,72.00,90.00,115.00
79,01,19,Phúc Thọ,2016,185.931,1.4,11.24,-0.89,660,2.956,15.9,351,11.87,70.00,80.00,115.00
80,01,20,Đan Phượng,2016,158.886,-3.0,11.37,-1.10,1.518,2.759,17.36,326,11.82,73.00,82.00,108.50
81,01,21,Thạch Thất,2016,202.046,-1.0,10.65,0.49,2.053,3.157,15.63,415,13.15,70.00,86.40,118.00
82,01,22,Hoài Đức,2016,220.302,0.5,12.2,-1.14,2.642,3.809,17.29,598,15.7,70.00,75.00,114.00
83,01,23,Quốc Oai,2016,188.836,1.4,11.57,0.07,1.218,2.952,15.63,415,14.06,90.00,80.00,104.10
84,01,24,Chương Mỹ,2016,323.723,1.7,9.96,-1.04,1.083,5.581,17.24,533,9.55,75.00,80.00,113.00
85,01,25,Thanh Oai,2016,193.235,-1.2,11.01,0.20,1.375,3.130,16.2,281,8.98,75.00,70.00,114.00
86,01,26,Thường Tín,2016,244.203,1.2,11.2,-0.10,1.577,3.890,15.93,400,10.28,70.00,71.20,114.70
87,01,27,Ứng Hòa,2016,200.117,2.0,10.42,0.99,1.871,2.969,14.84,346,11.65,74.34,92.55,124.68
88,01,28,Phú Xuyên,2016,193.235,-5.8,11.61,0.36,1.194,3.367,17.42,371,11.02,67.00,65.00,114.00
89,01,29,Mỹ Đức,2016,192.524,2.2,8.46,-0.72,1.072,3.020,15.69,301,9.97,70.00,61.00,116.00
90,01,30,Mê Linh,2016,220.835,2.6,12.71,-0.26,842,4.295,19.45,340,7.92,76.40,83.09,113.00
91,01,1,Ba Đình,2017,246.735,0.3,10.1,0.68,36.830,3.556,14.41,45,1.27,87.52,86.02,105.0
92,01,2,Hoàn Kiếm,2017,182.943,-10.3,10.41,-0.59,30.359,3.053,16.69,47,1.54,80.00,86.00,115.0
93,01,3,Hai Bà Trưng,2017,317.833,0.4,10.42,-0.01,6.900,3.975,12.51,7,0.18,80.14,88.87,104.0
94,01,4,Đống Đa,2017,417.637,0.4,13.16,0.01,4.880,5.848,14,5,0.09,80.13,86.22,106.0
95,01,5,Thanh Xuân,2017,280.250,0.6,11.98,1.59,21.656,4.019,14.34,29,0.72,80.16,86.01,106.0
96,01,6,Tây Hồ,2017,164.421,1.4,8.76,0.35,42.302,2.416,14.69,21,0.87,85.89,86.30,105.7
97,01,7,Cầu Giấy,2017,264.299,-0.1,6.72,1.73,30.994,3.935,14.89,46,1.17,80.40,86.30,110.0
98,01,8,Hoàng Mai,2017,387.495,2.1,10.57,1.85,10.206,5.636,14.36,79,1.45,77.17,85.98,107.0
99,01,9,Long Biên,2017,285.557,0.7,10.5,0.16,31.397,4.779,16.74,146,03.06,80.17,88.30,114.0
100,01,10,Nam Từ Liêm,2017,233.790,3.0,15.08,1.52,1.118,3.628,15.52,121,3.34,77.82,86.33,113.0
101,01,11,Bắc Từ Liêm,2017,328.295,0.8,12.55,1.12,2.055,4.264,12.99,155,3.64,77.00,86.00,113.5
102,01,12,Sóc Sơn,2017,335.512,0.5,12.29,-0.29,2.365,6.201,18.48,759,12.24,88.19,81.70,114.0
103,01,13,Đông Anh,2017,386.186,0.9,13.44,-0.05,7.353,6.301,16.32,511,8.11,73.49,82.30,112.0
104,01,14,Gia Lâm,2017,273.532,-0.4,14.2,-0.09,4.045,4.469,16.34,270,06.04,75.26,82.99,113.5
105,01,15,Thanh Trì,2017,229.835,2.1,10.71,0.04,7.354,3.677,16,247,6.72,78.98,81.64,112.0
106,01,16,Hà Đông,2017,309.019,3.6,15.77,-0.53,1.592,3.732,12.08,223,5.98,95.70,85.10,113.5
107,01,17,Sơn Tây,2017,145.739,3.9,10.09,0.19,6.442,1.888,12.95,179,9.48,82.99,86.02,108.0
108,01,18,Ba Vì,2017,291.383,5.0,9.39,-0.18,1.280,4.606,15.81,495,10.75,77.96,90.53,116.0
109,01,19,Phúc Thọ,2017,186.739,0.4,12.61,-0.12,668,2.950,15.8,345,11.69,72.30,83.25,115.0
110,01,20,Đan Phượng,2017,167.541,5.4,10.47,0.04,1.537,2.602,15.53,296,11.38,72.00,89.40,116.0
111,01,21,Thạch Thất,2017,208.194,3.0,11.89,0.32,2.088,3.136,15.06,401,12.79,87.50,91.10,111.3
112,01,22,Hoài Đức,2017,226.317,2.7,11.92,0.10,2.701,3.712,16.4,562,15.14,83.72,94.74,114.0
113,01,23,Quốc Oai,2017,190.136,0.7,11.75,0.16,1.244,2.900,15.25,358,12.34,88.52,82.07,104.0
114,01,24,Chương Mỹ,2017,326.032,0.7,12.22,0.03,1.107,5.542,17,513,9.26,77.45,81.97,113.0
115,01,25,Thanh Oai,2017,200.959,4.0,10.78,0.05,1.395,3.121,15.53,254,8.14,70.75,70.68,115.0
116,01,26,Thường Tín,2017,246.194,0.8,13.64,-0.01,1.657,3.888,15.79,382,9.83,99.71,71.99,114.2
117,01,27,Ứng Hòa,2017,201.176,0.5,11.98,-0.11,1.899,3.004,14.93,342,11.38,81.31,97.04,110.0
118,01,28,Phú Xuyên,2017,208.851,8.1,12.58,0.30,1.234,3.226,15.45,348,10.79,72.68,75.00,115.0
119,01,29,Mỹ Đức,2017,192.298,-0.1,09.04,0.11,1.088,2.993,15.56,288,9.62,73.65,83.00,112.0
120,01,30,Mê Linh,2017,222.486,0.7,10.77,0.08,859,4.021,18.07,314,7.81,73.65,83.00,113.0
121,01,1,Ba Đình,2018,247.450,0.3,11.29,0.49,26.406,3.566,14.41,45,1.26,85.63,87.63,103.1
122,01,2,Hoàn Kiếm,2018,160.393,-12.3,9.43,-0.43,28.922,2.715,16.93,42,1.55,81.80,86.80,105.2
123,01,3,Hai Bà Trưng,2018,310.159,-2.4,09.07,-1.27,6.839,4.157,13.4,0,0.00,81.02,88.02,115.1
124,01,4,Đống Đa,2018,422.403,1.1,12.2,0.25,4.923,5.878,13.92,5,0.09,81.64,87.64,107.5
125,01,5,Thanh Xuân,2018,278.460,-0.6,11.4,0.25,22.768,3.989,14.33,23,0.58,81.54,86.54,103.6
126,01,6,Tây Hồ,2018,169.725,3.2,7.75,0.47,42.422,2.491,14.68,19,0.76,86.11,86.11,109.9
127,01,7,Cầu Giấy,2018,267.628,1.3,7.21,1.41,30.390,3.965,14.82,45,1.13,81.57,85.57,110.0
128,01,8,Hoàng Mai,2018,431.692,11.4,8.46,1.62,11.002,6.054,14.36,78,1.45,78.03,86.03,105.9
129,01,9,Long Biên,2018,295.058,3.3,10.5,0.22,31.540,4.928,16.7,120,2.44,80.62,86.62,111.1
130,01,10,Nam Từ Liêm,2018,242.368,3.7,14.68,1.15,1.119,3.749,15.47,125,3.33,80.23,86.23,109.9
131,01,11,Bắc Từ Liêm,2018,331.721,1.0,10.94,0.49,2.073,4.302,12.97,155,3.60,80.50,86.50,112.9
132,01,12,Sóc Sơn,2018,341.738,1.9,12.09,-0.11,2.375,6.280,18.38,769,12.25,87.18,87.18,115.1
